"Cod. Tabla";"Cod.Producto";"Grupo";"Precio Venta";
"500";"003197";"0102";"6038,277";
"500";"003198";"0102";"6038,277";
"500";"003199";"0102";"6038,277";
"500";"003200";"0102";"11602,311";
"500";"003201";"0102";"15549,702";
"500";"003202";"0102";"23228,982";
"500";"003203";"0102";"30947,028";
"500";"003204";"0152";"17185,6";
"500";"003205";"0152";"16426,462";
"500";"003206";"0104";"84429,1475";
"500";"003207";"0152";"16426,439";
"500";"003208";"0104";"194966,5415";
"500";"003209";"0152";"16426,577";
"500";"003210";"0152";"6298,32";
"500";"003211";"0153";"72870,9195";
"500";"003212";"0153";"337448,6755";
"500";"003214";"0153";"6690,6055";
"500";"003215";"0108";"128604,8475";
"500";"003216";"0153";"6690,6055";
"500";"003221";"0132";"72,4265";
"500";"003222";"0132";"64,3495";
"500";"003228";"0108";"73027,4625";
"500";"003229";"0108";"73027,4625";
"500";"003230";"0152";"6298,32";
"500";"003231";"0152";"6298,32";
"500";"003232";"0152";"9007,743";
"500";"003236";"0152";"16426,439";
"500";"003237";"0152";"6934,73";
"500";"003238";"0156";"5125";
"500";"003239";"0156";"5125";
"500";"003240";"0156";"5125";
"500";"003241";"0156";"12095";
"500";"003242";"0156";"12095";
"500";"003243";"0156";"12095";
"500";"003244";"0156";"12095";
"500";"003245";"0156";"12095";
"500";"003246";"0156";"12095";
"500";"003247";"0156";"12095";
"500";"003248";"0156";"12710";
"500";"003249";"0165";"7443,7755";
"500";"003250";"0156";"19732,275";
"500";"003251";"0165";"11376,2905";
"500";"003252";"0156";"612950";
"500";"003253";"0156";"87945";
"500";"003254";"0156";"7154,5";
"500";"003255";"0156";"34645";
"500";"003256";"0104";"2110,393";
"500";"003257";"0104";"106,928";
"500";"003258";"0186";"5633,4";
"500";"003259";"0186";"20344,2";
"500";"003260";"0186";"44553,3265";
"500";"003263";"0104";"424080,343";
"500";"003264";"0104";"466481,4155";
"500";"003265";"0104";"423495,314";
"500";"003267";"0104";"225953,8495";
"500";"003268";"0104";"5671,776";
"500";"003269";"0132";"88,8265";
"500";"003270";"0115";"53192,1905";
"500";"003271";"0132";"22,4065";
"500";"003272";"0134";"13,838";
"500";"003273";"0132";"7,0315";
"500";"003274";"0156";"4489,5";
"500";"003275";"0156";"4489,5";
"500";"003276";"0156";"4489,5";
"500";"003277";"0132";"57,7075";
"500";"003286";"0102";"1335,999";
"500";"003289";"0102";"1335,999";
"500";"003290";"0102";"1335,999";
"500";"003291";"0102";"1335,999";
"500";"003296";"0132";"48,462";
"500";"003300";"0139";"19351,728";
"500";"003301";"0139";"43797,0815";
"500";"003302";"0139";"77922,427";
"500";"003303";"0185";"21090,359";
"500";"003304";"0152";"62562,553";
"500";"003305";"0152";"60387,144";
"500";"003306";"0185";"46966,0945";
"500";"003307";"0152";"60387,144";
"500";"003308";"0185";"84125,0915";
"500";"003309";"0152";"60387,144";
